jobno,CR1_mean,CR1_min,CR1_max,CR1_std,CR1_var,ER1_mean,ER1_min,ER1_max,ER1_std,ER1_var,ST1_mean,ST1_min,ST1_max,ST1_std,ST1_var,ST2_mean,ST2_min,ST2_max,ST2_std,ST2_var,prod_grade
1,44.460927333744266,6.0,245.0,15.831371575511447,250.6323259619118,46.216443987667006,1.0,100.0,24.897475471891383,619.884284873433,70.0,70.0,70.0,0.0,0.0,80.0,50.0,95.0,25.98076211353316,675.0,A
2,58.52427714129842,28.0,92.0,20.107806146591642,404.3238680289086,49.54440739618066,1.0,100.0,21.93679150942637,481.2228217280409,70.0,70.0,70.0,0.0,0.0,80.0,50.0,95.0,25.98076211353316,675.0,A-
4,50.80763411576536,25.0,88.0,18.928483281234996,358.2874793279928,42.3684506311603,0.0,100.0,26.104541605662586,681.447092441769,70.0,70.0,70.0,0.0,0.0,95.0,95.0,95.0,0.0,0.0,B-
5,45.077235125676104,24.0,56.0,8.947864286620597,80.06427529178033,45.36772192173083,1.0,100.0,24.81213964192439,615.6422736103557,70.0,70.0,70.0,0.0,0.0,72.5,50.0,95.0,31.81980515339464,1012.5,A-
6,55.632718384449745,25.0,86.0,17.811345806644052,317.24403944385665,48.01711192596473,1.0,100.0,21.850775752704514,477.45640099497956,70.0,70.0,70.0,0.0,0.0,95.0,95.0,95.0,0.0,0.0,A
7,56.62935452294582,22.0,89.0,18.001569337746158,324.05649862168264,53.65079182263173,1.0,100.0,19.76152514757616,390.5178761582851,47.333333333333336,12.0,70.0,31.00537587795596,961.3333333333333,67.33333333333333,12.0,95.0,47.92007234273894,2296.3333333333335,A
8,66.9222032935832,18.0,157.0,24.679293032857768,609.0675046016619,67.10450346420323,50.0,90.0,6.265291308415936,39.25387517931227,60.0,60.0,60.0,0.0,0.0,95.0,95.0,95.0,0.0,0.0,A
9,55.16295409181637,23.0,95.0,22.202766139230512,492.96282423336095,58.35283320031923,23.0,100.0,15.408615219169358,237.42542297241752,60.0,60.0,60.0,0.0,0.0,95.0,95.0,95.0,0.0,0.0,A
10,56.90898694367674,21.0,95.0,23.384310349127475,546.8259705043102,57.36192109777016,23.0,100.0,15.624224898096962,244.11640366631303,60.0,60.0,60.0,0.0,0.0,95.0,95.0,95.0,0.0,0.0,A
11,43.869799314733235,28.0,56.0,11.532931314715713,133.0085047099503,78.83896231032794,72.0,91.0,1.7584298991248062,3.092075710136076,60.0,60.0,60.0,0.0,0.0,95.0,95.0,95.0,0.0,0.0,A
12,55.0,55.0,55.0,0.0,0.0,79.38720538720538,75.0,82.0,2.301931753742898,5.298889798889854,60.0,60.0,60.0,0.0,0.0,95.0,95.0,95.0,0.0,0.0,A-
13,41.084491175366125,21.0,56.0,15.050353619074297,226.5131440591828,38.45379413974455,0.0,100.0,40.03676352962094,1602.9424339267857,60.0,60.0,60.0,0.0,0.0,95.0,95.0,95.0,0.0,0.0,A
14,53.98695883605394,20.0,95.0,22.478770005552974,505.2951009625481,51.9180269694819,0.0,100.0,19.87428829837322,394.98733536685467,60.0,60.0,60.0,0.0,0.0,95.0,95.0,95.0,0.0,0.0,A
16,59.46952840405631,20.0,95.0,23.50174467273786,552.3320026625623,48.06607582471689,1.0,100.0,19.457150952163126,378.58072317526245,60.0,60.0,60.0,0.0,0.0,95.0,95.0,95.0,0.0,0.0,A
17,58.888538837588264,21.0,95.0,22.77160573842034,518.5460279060583,53.84734897870491,0.0,100.0,18.801081384635033,353.48066123166996,60.0,60.0,60.0,0.0,0.0,95.0,95.0,95.0,0.0,0.0,A-
18,44.63997033741194,19.0,58.0,5.1554155373849655,26.57830936311031,50.055431961438636,1.0,100.0,16.56048494926341,274.24966175478,60.0,60.0,60.0,0.0,0.0,95.0,95.0,95.0,0.0,0.0,A
19,54.125664361121224,19.0,95.0,20.320543828328255,412.9245014790095,48.89632326174008,0.0,100.0,21.252835177494486,451.68300308174713,60.0,60.0,60.0,0.0,0.0,95.0,95.0,95.0,0.0,0.0,A-
20,42.78104237413258,20.0,59.0,6.02951352508709,36.35503334920815,47.94743059657413,0.0,100.0,19.754688457119872,390.2477160378652,60.0,60.0,60.0,0.0,0.0,95.0,95.0,95.0,0.0,0.0,B-
21,47.72265422498704,19.0,95.0,19.348140785323274,374.35055184869,41.4977534562212,0.0,100.0,27.753206059690964,770.2404465916671,60.0,60.0,60.0,0.0,0.0,95.0,95.0,95.0,0.0,0.0,A
22,42.56112474893997,19.0,95.0,19.282806267578145,371.82661755295095,24.986564299424185,0.0,100.0,34.03562478986989,1158.423754836806,60.0,60.0,60.0,0.0,0.0,95.0,95.0,95.0,0.0,0.0,B-
23,45.24776016540317,19.0,59.0,10.00473621796855,100.09474679113164,48.1620130989314,1.0,100.0,18.67474649085656,348.7461564977594,60.0,60.0,60.0,0.0,0.0,95.0,95.0,95.0,0.0,0.0,A-
24,42.095927601809954,18.0,51.0,6.916948310706564,47.84417393298639,51.290983142889466,0.0,100.0,14.51692362943594,210.74107166287556,60.0,60.0,60.0,0.0,0.0,95.0,95.0,95.0,0.0,0.0,B-
